Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
What should I use to collect my blood?,"There are plenty of collection methods you can use. You are most likely to encounter pads and cloths. Pads are the simplest to use and are most often available in school nurses’ offices—all you need to do is place one with the sticky side on your underwear and you’re good to go. Tampons are also frequently available. There is a bit of a learning curve involved with tampons, because they need to be inserted into your vagina. But many people prefer them, so if you feel comfortable, you can give them a shot. Regardless of which type of period product you decide to go with, a friend, the school nurse, or your parent will be able to demonstrate how to use it correctly.",mujhe apna khoon jama karne ke liye kya istemaal karna chahiye ?,"jama karne ke bohat saaray tareeqay hain jo aap istemaal kar satke hain. aap ko pad aur kapron ka saamna karne ka ziyada imkaan hai. pad istemaal karne mein sab se aasaan hain aur aksar school narson ke dafatir mein dastyab hotay hain — aap ko bas –apne zair jama par chipaknay wali side ke sath aik jagah rakhna hai aur aap jane ke liye tayyar hain. taimiyon bhi kasrat se dastyab hain. taimiyon ke sath seekhnay ka thora sa munhani khutoot hai, kyunkay inhen aap ki andaam nihani/vagina mein daakhil karne ki zaroorat hai. lekin bohat se log inhen tarjeeh dete hain, lehaza agar aap aaraam da mehsoos karte hain, to aap inhen shot day satke hain. qata nazar is ke ke aap kis qisam ke period numeral ke sath jane ka faisla karte hain, aik dost, school ki nurse, ya aap ke walidain yeh zahir karne ke qabil hon ge ke usay sahih tareeqay se kaisay istemaal kya jaye ."
This was good. Nice conversation bye,"Glad to be of help, take care.","yeh acha tha. achi guftagu rahi, alwida","madad kar ke khushi hui, khayaal rakhna ."
Can you answer my question?,"Sure, if it is related to menstrual health. How can I help?",kya aap mere sawal ka jawab day satke hain ?,"yakeeni tor par, agar yeh mahvari ki sehat se mutaliq hai. mein kis terhan madad kar sakta hon ?"
Do I have a vagina?,If you are confirmed as a female by birth then you do have a vagina.,kya mere paas andaam nihani/vagina hai ?,agar aap pedaishi tor par aik khatoon honay ki tasdeeq karte hain to aap ke paas andaam nihani/vagina hai .
Is my vagina and vulva the same thing?,"That is a nice question, a lot of people don't know that vulva and vagin are two different parts. The vulva is the part of your genitals on the outside of your body — your labia, clitoris, vaginal opening, and the opening to the urethra (the hole you pee out of). While vaginas are just one part of the vulva, many people say “vagina” when they really mean the vulva. But the vulva has a lot more going on than just the vagina.",kya meri andaam nihani/vagina aur vulva aik hi cheez hai ?,"yeh aik acha sawal hai, bohat se log nahi jantay ke vulva aur andaam nihani/vagina do mukhtalif hissay hain. walvo aap ke jinsi aaza ka woh hissa hai jo aap ke jism ke bahar hota hai — aap ka lbya, andaam nihani/vagina ka khilna, aur pishaab ki naali ka khilna ( jis sorakh se aap pishaab karte hain ). jab ke andaam nihani/vagina volva ka sirf aik hissa hain, bohat se log"" andaam nihani/vagina "" kehte hain jab un ka matlab waqai volva hota hai. lekin wa;vo sirf andaam nihani/vagina ke muqablay mein bohat ziyada chal raha hai ."
What is a vagina?,"The vagina is the tube between the vulva and the cervix. This tube is the connection between your uterus and the outside world. The vagina is what babies exit through during birth, and what menstrual blood exits through during your period. The vagina is also used for insertion, such as with a penis, fingers, female condoms, sex toys, tampons, or menstrual cups.

The vagina can also act as a route to other parts of the body. During penis-vagina sex, ejaculate is deposited in the vagina, allowing sperm to enter the uterus through the cervix. The walls of the vagina can also be used as an administrative route for medications and contraceptives, such as intervaginal hormone creams, the hormonal vaginal contraceptive ring, or vaginal suppository medications.",andaam nihani/vagina kya hai ?,"andaam nihani/vagina vulva aur garewa ke darmiyan aik tube hai. yeh tube aap ke reham aur bairooni duniya ke darmiyan conection hai. andaam nihani/vagina woh hai jis se bachay paidaiesh ke douran bahar nikaltay hain, aur aap ki mahvari ke douran jis se khoon nikalta hai. andaam nihani/vagina ko daakhil karne ke liye bhi istemaal kya jata hai, jaisay ke uzoo tanasul, unglio, khawateen ke kndom, jinsi khilonay, mahvari ke cupp ke sath .
 
 andaam nihani/vagina jism ke dosray hisson ke rastay ke tor par bhi kaam kar sakti hai. uzoo tanasil andam Nihani ke jinsi taluqaat ke douran, inzaal/ejaculate andaam nihani/vagina mein jama hota hai, jis se nutfa garewa ke zariye bacha daani/uterus mein daakhil hota hai. andaam nihani/vagina ki dewaron ko dawaiyon aur Maney hamal adwiyaat ke liye intizami rastay ke tor par bhi istemaal kya ja sakta hai, jaisay inter vaginal hormone kareem, hormonal andaam nihani/vagina Maney hamal ki angothi, ya andaam nihani/vagina  adwiyaat ."
Does my vagina change with age?,"Yes, it does. The vagina can change a lot throughout a person's life. An average adult vagina is slightly curved, but every body is different, and there’s no such thing as a too small or too large vagina.

The vagina is strongly influenced by hormonal changes throughout the body. During the reproductive years after menarche (the first menstrual period) and before menopause, more layers of tissue are present lining the vagina, due to stimulation from higher estrogen levels in the body.

After menopause, when estrogen is lower, the walls of the vagina become thinner and frailer, which can cause symptoms of vaginal dryness and decreased vaginal secretions. This may result in discomfort during sex and increase the chances of vaginal irritation or infection ",kya meri andaam nihani/vagina Umar ke sath badalti hai ?,"haan yeh karta hai. andaam nihani/vagina 1 shakhs ki poori zindagi mein bohat kuch badal sakti hai. aik ost baaligh andaam nihani/vagina qadray Khamida hoti hai, lekin har jism mukhtalif hota hai, aur bohat choti ya bohat barri andaam nihani/vagina jaisi koi cheez nahi hai .
 
 andaam nihani/vagina poooray jism mein hormonal tabdeelion se sakht mutasir hoti hai. mahvari ( pehli mahvari ) ke baad aur rajonoorti/menopause se pehlay toleedi saloon ke douran, jism mein astrogen ki aala sthon se muharrak honay ki wajah se, andaam nihani/vagina ke andar tissue ki mazeed tahein mojood hoti hain .
 
 rajonoorti/menopause ke baad, jab astrogen kam hota hai, to andaam nihani/vagina ki diivaaren patli aur kamzor hojati hain, jo andaam nihani/vagina ki khushki aur andaam nihani/vagina ki ratobanton mein kami ki alamaat ka sabab ban sakti hain. is ke nateejay mein jinsi taluqaat ke douran takleef ho sakti hai aur andaam nihani/vagina mein jalan ya infection ke imkanaat barh satke hain ."
Will it change during pregnancy too?,"Yes it will! The vagina is also influenced by changing hormone levels during pregnancy. Increased blood flow is directed to the pelvis, causing a deeper color change to the vulva and vagina. Throughout pregnancy, the connective tissue of the vaginal walls progressively relaxes, in preparation for the delivery of a baby. After delivery, the vagina and vaginal opening temporarily widen, but 6-12 weeks post-delivery, the vagina returns to its pre-pregnancy size. As people age, the walls of the vagina become more relaxed, and the diameter of the vagina becomes wider. ",kya yeh hamal ke douran bhi badal jaye ga ?,"haan yeh ho ga! hamal ke douran hormone ki satah mein tabdeeli se andaam nihani/vagina bhi mutasir hoti hai. khoon ke bahao mein izafah sahrooni ki taraf jata hai, jis ki wajah se volva aur andaam nihani/vagina ka rang gehra hota hai. hamal ke douran, andaam nihani/vagina ki dewaron ke marboot tissue aahista aahista aaraam karte hain, bachay ki paidaiesh ki tayari mein. dilyori ke baad, andaam nihani/vagina aur andaam nihani/vagina ka khilna earzi tor par chaura ho jata hai, lekin dilyori ke 6-12 haftay baad, andaam nihani/vagina –apne hamal se pehlay ke size mein wapas ajati hai. jaisay jaisay logon ki Umar barhti jati hai, andaam nihani/vagina ki diivaaren ziyada aaraam da hoti jati hain, aur andaam nihani/vagina ka qutar wasee hota jata hai ."
I was wondering if the size of my vagina will affect my sexual abilities,"When it comes to sexual satisfaction, vaginal size does not affect sexual function. The perception of vaginal tightness during sex is primarily related to the pelvic floor muscles, which are present around the base of the vagina and not actually how wide the vaginal canal is.",mein soch rahi thi ke kya meri andaam nihani/vagina ka size meri jinsi salahiyaton ko mutasir kere ga .,"jab baat jinsi taskeen ki ho to andaam nihani/vagina ka size jinsi feal ko mutasir nahi karta. jinsi taluqaat ke douran andaam nihani/vagina ki tangi ka tasawwur bunyadi tor par sharooni farsh ke pathon se mutaliq hai, jo andaam nihani/vagina ki bunyaad ke ird gird mojood hotay hain aur yeh nahi ke andaam nihani/vagina ki naali kitni chorrie hai ."
"During the menstrual cycle, how does my vagina change?","The vagina also changes in response to hormonal fluctuations of the menstrual cycle. Around mid-cycle, when estrogen is highest, vaginal tissue becomes thicker and fuller.

The cervix, at the top of the vagina, moves and changes shape throughout the cycle. Before and after the fertile window, the cervix is low and can be felt in the vagina, with a firm texture, and the hole in the center of the cervix is closed. During the fertile window, the hole in the cervix opens to facilitate the entrance of sperm into the uterus, the cervix rises higher in the vagina, and is softer when touched","mahvari ke douran, meri andaam nihani/vagina kaisay badalti hai ?","mahvari ke hormonal utaar charhao ke jawab mein andaam nihani/vagina mein bhi tabdeeli aati hai. wast cycle ke ird gird, jab astrogrn sab se ziyada hota hai, andaam nihani/vagina ke tissue gaarha aur bhara ho jata hai .
 
 garewa, andaam nihani/vagina ke oopri hissay mein, poooray chakkar mein harkat karta hai aur shakal badalta hai. zarkhaiz khirki se pehlay aur baad mein, garewa kam hai aur aik mazboot saakht ke sath, andaam nihani/vagina mein mehsoos kya ja sakta hai, aur garewa ke beech mein sorakh band hai. zarkhaiz khirki ke douran, garewa ka sorakh bacha daani/uterus mein supreme ke dakhlay ko aasaan bananay ke liye khilta hai, garewa andaam nihani/vagina mein oopar uthta hai, aur chone par naram hota hai ."
I am curious of how my vagina (private part) changes during sex,"The vagina can undergo more rapid changes, such as during sexual activity. When a person with a vagina is sexually aroused, increased blood flow is directed towards the genitals, causing the vaginal tissue to become engorged with blood, and additional lubrication to be produced. This fluid is called arousal fluid.

During sexual excitement, the vagina expands by lengthening and widening in shape. This shape change happens as the uterus and cervix are drawn higher into the pelvis, which creates more space and moves the cervix farther away from any semen that is ejaculated into the vagina. This allows time for the semen to mix with female genital fluids, stimulating the sperm to undergo the physical changes necessary for fertilizing an egg",mein janna chahti hon ke jinsi taluqaat ke douran meri andaam nihani/vagina ( private part ) kaisay badalti hai .,"andaam nihani/vagina ziyada taizi se tabdeelion se guzar sakti hai, jaisay ke jinsi sargarmi ke douran. jab andaam nihani/vagina ke sath 1 shakhs jinsi tor par bedaar hota hai to, khoon ke bahao mein izafah jinsi aaza ki taraf hota hai, jis ki wajah se andaam nihani/vagina ke tissue khoon se bhar jatay hain, aur izafi phislan peda hoti hai. is seyal/fluid ke arosal fluid kehte hain .
 
 jinsi josh ke douran, andaam nihani/vagina shakal mein lamba aur chaura ho kar phelti hai. yeh shakal mein tabdeeli is waqt hoti hai jab bacha daani/uterus aur garewa shoroni mein ounchay kheinchain jatay hain, jo ziyada jagah peda karta hai aur garewa ko andaam nihani/vagina mein kharij honay walay kisi bhi money se daur le jata hai. is se money ko khawateen ke sayalo ke sath ghul mil jane ka waqt milta hai, jis se nutfa ko anday ki khad daalnay ke liye zaroori jismani tabdeelion se guzarnay ki tehreek millti hai ."
